Added,URL,ListedPrice,Year,Make,Model,Trim,Body,Mileage,ManualTF,Drivetrain,Fuel,HP,Displacement,Engine,Combined MPG,State,Title Issues,AccidentsTF,Owners,Rental Use?,Fleet Use?,Age,Country
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=30000&sortDir=ASC&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=20000&sortType=DEAL_SCORE#listing=314876340/NONE,25643,2013,BMW,1 Series,135i,Convertible,43561,FALSE,RWD,Gas,300,3,I6,21,TX,No,FALSE,3,No,No,8,Germany
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=30000&sortDir=ASC&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=20000&sortType=DEAL_SCORE#listing=309717160/NONE,25591,2015,BMW,4 Series,435i,Convertible,76131,FALSE,RWD,Gas,300,3,I6,25,TX,No,FALSE,2,No,No,6,Germany
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=314634151/NONE,18995,2005,Cadillac,XLR,,Convertible,82533,FALSE,RWD,Gas,320,4.6,V8,19,TX,No,FALSE,5,No,No,16,USA
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=313837515/NONE,13995,2002,Chevrolet,Corvette,,Convertible,99993,TRUE,RWD,Gas,350,5.7,V8,21,TX,No,TRUE,3,No,No,19,USA
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=30000&sortDir=ASC&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=20000&sortType=DEAL_SCORE#listing=314735742/NONE,20995,2005,Chevrolet,Corvette,,Convertible,86973,TRUE,RWD,Gas,400,6,V8,21,TX,No,FALSE,1,No,No,16,USA
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=308175597/NONE,9498,1989,Chevrolet,Corvette,,Convertible,99200,FALSE,RWD,Gas,254,5.7,V8,19,TX,No,FALSE,7,No,Yes,32,USA
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=30000&sortDir=ASC&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=20000&sortType=DEAL_SCORE#listing=308176637/NONE,27591,2018,Chevrolet,Camaro,1LT,Convertible,37249,FALSE,RWD,Gas,335,3.6,V6,24,TX,No,FALSE,2,No,No,3,USA
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=314885276/NONE,3990,2007,Chrysler,PT Cruiser,,Convertible,126396,FALSE,FWD,Gas,150,2.4,I4,21,TX,No,FALSE,5,Yes,No,14,USA
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=307870326/NONE,7999,2010,Chrysler,Sebring,Touring,Convertible,92009,FALSE,FWD,Flex,186,2.7,V6,22,TX,No,FALSE,3,No,No,11,USA
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=314006871/NONE,11900,2013,Chrysler,200,S,Convertible,37343,FALSE,FWD,Flex,283,3.6,V6,24,TX,No,FALSE,3,No,No,8,USA
