Added,URL, Price ,Year,Make,Model,Trim,Body,Mileage,Man0Auto1,Drivetrain,Fuel,HP,Displacement,Engine,Combined MPG,State,Title Issues,Accidents?,Owners,Rental Use?,Fleet Use?
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=312155524/NONE," $9,850 ",1981,Mercedes-Benz,380SL,,Convertible,"174,697",1,RWD,Gas,155,3.8,V8,,TX,No,0,1,No,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=308175597/NONE," $9,498 ",1989,Chevrolet,Corvette,,Convertible,"99,200",1,RWD,Gas,254,5.7,V8,19,TX,No,No,7,No,Yes
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=309341438/NONE," $9,900 ",2006,Mercedes-Benz,SL 500,,Convertible,"118,371",1,RWD,Gas,302,5,V8,18,TX,No,1,5,No,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=298598035/NONE," $7,000 ",1996,Mercedes-Benz,SL 500,,Convertible,"113,585",1,RWD,Gas,315,5,V8,18,TX,No,1,4,No,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=309825267/NONE," $18,700 ",2006,Porsche,Boxster,S,Convertible,"90,955",0,RWD,Gas,280,3.2,H6,,TX,No,No,3,No,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=312874862/NONE," $16,191 ",2002,Porsche,Boxster,,Convertible,"40,900",1,RWD,Gas,217,2.7,H6,19,TX,No,No,4,No,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=310011602/NONE," $19,999 ",2001,Porsche,Boxster,S,Convertible,"59,353",0,RWD,Gas,250,3.2,H6,19,TX,No,No,4,No,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=312146381/NONE," $15,995 ",2002,Porsche,Boxster,S,Convertible,"109,429",1,RWD,Gas,250,3.2,H6,19,TX,No,No,7,No,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=314995513/NONE," $10,995 ",2014,FIAT,500,GQ Edition,Convertible,"35,445",0,FWD,Gas,160,1.4,I4,31,TX,No,No,5,No,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=313441555/NONE," $10,995 ",2006,Mazda,MX-5 Miata,Touring,Convertible,"66,821",1,RWD,Gas,170,2,I4,24,TX,No,No,2,No,No
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=314685239/NONE," $16,983 ",2013,Volkswagen,Beetle,Turbo,Convertible,"70,359",1,FWD,Gas,210,2,I4,,TX,No,No,4,No,No
